comp;year;mat;value;source;dqisgeo;dqistemp;dqismat;dqistech;dqisrel
Inflow2;1993;Material1;0;Example data;1;1;3;2;2
Inflow2;1994;Material1;0;Example data;1;1;3;2;2
Inflow2;1995;Material1;0;Example data;1;1;3;2;2
Inflow2;1996;Material1;0;Example data;1;1;3;2;2
Inflow2;1997;Material1;0;Example data;1;1;3;2;2
Inflow2;1998;Material1;0;Example data;1;1;3;2;2
Inflow2;1999;Material1;0;Example data;1;1;3;2;2
Inflow2;2000;Material1;1;Example data;1;1;3;2;2
Inflow2;2001;Material1;0;Example data;1;1;3;2;2
Inflow2;2002;Material1;2;Example data;1;1;3;2;2
Inflow2;2003;Material1;1;Example data;1;1;3;2;2
Inflow2;2004;Material1;2;Example data;1;1;3;2;2
Inflow2;2005;Material1;4;Example data;1;1;3;2;2
Inflow2;2006;Material1;5;Example data;1;1;3;2;2
Inflow2;2007;Material1;6;Example data;1;1;3;2;2
Inflow2;2008;Material1;4;Example data;1;1;3;2;2
Inflow2;2009;Material1;7;Example data;1;1;3;2;2
Inflow2;2010;Material1;8;Example data;1;1;3;2;2
Inflow2;2011;Material1;9;Example data;1;1;3;2;2
Inflow2;2012;Material1;8;Example data;1;1;3;2;2
Inflow2;2013;Material1;8;Example data;1;1;3;2;2
