comp1;comp2;year;mat;value;priority;source;dqisgeo;dqistemp;dqismat;dqistech;dqisrel
Stock1;Sink1;1993;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;1994;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;1995;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;1996;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;1997;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;1998;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;1999;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2000;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2001;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2002;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2003;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2004;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2005;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2006;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2007;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2008;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2009;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2010;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2011;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2012;Material1;1;2;Example data;1;1;1;1;1
Stock1;Sink1;2013;Material1;1;2;Example data;1;1;1;1;1
