comp1;comp2;year;mat;value;priority;source;dqisgeo;dqistemp;dqismat;dqistech;dqisrel
Stock2;Sink2;1993;Material1;0,9;2;Example data;2;1;3;1;3
Stock2;Sink2;1994;Material1;0,9;2;Example data;2;1;3;1;3
Stock2;Sink2;1995;Material1;0,9;2;Example data;2;1;3;1;3
Stock2;Sink2;1996;Material1;0,8;2;Example data;2;1;3;1;3
Stock2;Sink2;1997;Material1;0,8;2;Example data;2;1;3;1;3
Stock2;Sink2;1998;Material1;0,7;2;Example data;2;1;3;1;3
Stock2;Sink2;1999;Material1;0,6;2;Example data;2;1;3;1;3
Stock2;Sink2;2000;Material1;0,5;2;Example data;2;1;3;1;3
Stock2;Sink2;2001;Material1;0,4;2;Example data;2;1;3;1;3
Stock2;Sink2;2002;Material1;0,3;2;Example data;2;1;3;1;3
Stock2;Sink2;2003;Material1;0,3;2;Example data;2;1;3;1;3
Stock2;Sink2;2004;Material1;0,3;2;Example data;2;1;3;1;3
Stock2;Sink2;2005;Material1;0,3;2;Example data;2;1;3;1;3
Stock2;Sink2;2006;Material1;0,3;2;Example data;2;1;3;1;3
Stock2;Sink2;2007;Material1;0,3;2;Example data;2;1;3;1;3
Stock2;Sink2;2008;Material1;0,3;2;Example data;2;1;3;1;3
Stock2;Sink2;2009;Material1;0,3;2;Example data;2;1;3;1;3
Stock2;Sink2;2010;Material1;0,3;2;Example data;2;1;3;1;3
Stock2;Sink2;2011;Material1;0,3;2;Example data;2;1;3;1;3
Stock2;Sink2;2012;Material1;0,3;2;Example data;2;1;3;1;3
Stock2;Sink2;2013;Material1;0,3;2;Example data;2;1;3;1;3
